"No.","シナリオ順","シナリオ名","配信区分","区分内順","媒体","管理名称","配信基準","配信タイミング","ステータス","送信元","件名","本文（全文・絵文字／改行保持）","URL・ボタン／アクション","配信条件","UTAGE編集URL","メッセージID"
"","1","広告入口：無料解説動画LP","ファネルページ","","ページ","空白のファネル","","","公開中","","","LINEで無料動画を受け取る ▶

期間限定・完全無料
      0円
    

    
      初心者向けスマホ視聴OK顔出し不要
    

  

  
    登録から受け取りまで10秒。営業電話や無理な勧誘はありません。

    期間限定のため、予告なく配布を終了する場合があります
  

  
    この無料動画で分かること

    
      ✓AIを仕事や収入につなげるための考え方がわかる

      ✓自分に合ったAIビジネスの見つけ方がわかる

      ✓LINEスタンプ・ホームページ制作・動画編集・ゲーム開発など、未経験から始めた実例を紹介

      ✓AIエージェントで作業を効率化する仕組みをやさしく解説

      ✓知識ゼロから最初の一歩を踏み出す方法

SUYA（スヤ）

        東大数学科卒のAI起業家・生成AI活用の専門家

        開成中学・高校 → 東京大学数学科卒

        メガベンチャーでのアプリ開発を経て起業

        AIエージェントを活用し、複数のYouTubeチャンネルを運営

        Anthropic公式13講座修了／所定評価合格・全講座修了証取得
      

    

    
      プライバシーポリシー｜特定商取引法に基づく表記｜運営会社
    

    © Xeno magic","","","https://utage-system.com/page/j1cI8q1ySjv2","j1cI8q1ySjv2"
"","2","Meta計測・LINE遷移","ファネルページ","","ページ","サンクス_Meta（リダイレクト・計測）","","","公開中","","","LINEへ移動しています…
自動で切り替わらない場合は こちら をタップしてください。","","","https://utage-system.com/page/fYOKv7Xjdqma","fYOKv7Xjdqma"
"","3","プレミアム無料動画（VSL）","ファネルページ","","ページ","動画視聴ページ","","","公開中","","","LINE友だち限定

プレミアム無料動画

無料公開終了まで残り…

無料個別相談に申し込む","","","https://utage-system.com/page/ud2vxiIdzVOc","ud2vxiIdzVOc"
"1","4","META_VSL_10_未視聴","ステップ配信","2","アクション","META_VSL_10_未視聴_No.00_入口ラベル付与","immediately","登録直後","稼働中","","","【アクション実行】
アクションID: mm34lEzhBt6E","アクションID: mm34lEzhBt6E","","https://utage-system.com/account/3TS1vbmqlbNx/scenario/E5mkccX7YYbv/step/action/Yys8Iic79z4A/edit","Yys8Iic79z4A"
"2","4","META_VSL_10_未視聴","ステップ配信","24","LINE","META_VSL_10_未視聴_No.01","immediately","登録直後","稼働中","","","【LINEメッセージ 1／text】
%line_name%さん、お待たせしました🎬

AI×ひとり起業のセミナー動画が公開されました！
登録者限定の公開で、視聴開始から3日間だけご覧いただけます。まだの方はお早めにどうぞ。

【LINEメッセージ 2／button】
{
  ""seq"": 1,
  ""type"": ""button"",
  ""alt_text"": ""AI×ひとり起業 セミナー動画が公開されました"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": ""https://utagesystem.s3.ap-northeast-1.wasabisys.com/GX6OYW2fVtRD/vj9113W40AbX.png"",
  ""title"": ""AI×ひとり起業｜無料セミナー動画"",
  ""text"": ""未経験からAIで事業を作る全体像を、この1本に。今すぐ視聴👇"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""▶ 動画を見る"",
      ""uri"": ""https://utage-system.com/p/W8wW6ShW0iHd"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","[
  {
    ""url"": ""https://utage-system.com/p/W8wW6ShW0iHd"",
    ""action_id"": ""3Unj2dV0Qc39"",
    ""expiration_type"": ""none""
  }
]","","https://utage-system.com/account/3TS1vbmqlbNx/scenario/E5mkccX7YYbv/step/line/haK9EW1F6dGj/edit","haK9EW1F6dGj"
"3","4","META_VSL_10_未視聴","ステップ配信","25","LINE","META_VSL_10_未視聴_No.02","none","0日後 0:20（時刻指定）","稼働中","","","【LINEメッセージ 1／text】
こんな収入、想像できますか？👀

・月収60万のフリーランス（元うつ直前の29歳）
・クビになった無職が2ヶ月で月利25万超
・2人チームでゲーム制作に挑戦

全員に共通しているのは「AIを使った一人起業」です。

「AI×ひとり起業」の動画では、その全貌をお伝えしています。","","{
    ""rules"":  [
                  {
                      ""key"":  ""label"",
                      ""condition"":  ""not-including"",
                      ""value"":  [
                                    ""2JXooWR9V9cd"",
                                    ""q3mX5zbyI4kI"",
                                    ""AjCisycMbEia"",
                                    ""r2vnCTyseMYh"",
                                    ""ztlcWnxeo2Gd"",
                                    ""44XxGPtTHwBN"",
                                    ""VHfYW7D9Sqaa"",
                                    ""l7UEdnmvTDIV""
                                ]
                  }
              ]
}","https://utage-system.com/account/3TS1vbmqlbNx/scenario/E5mkccX7YYbv/step/line/Eh25AatITjzh/edit","Eh25AatITjzh"
"4","4","META_VSL_10_未視聴","ステップ配信","23","LINE","META_VSL_10_未視聴_No.03","none","0日後 0:40（時刻指定）","稼働中","","","【LINEメッセージ 1／text】
あなたはどれですか？💡

✅AIを使いたいけど何から始めればいいかわからない
✅AIとビジネスが結びつかない
✅副業をやってみたが全然稼げなかった
✅現状のまま生活を続けた将来が不安
✅顔や名前を出さずに稼ぎたい
✅気を遣う組織の人間関係に疲れた
✅何か自分ならヒットさせられる自信がある

1つでも当てはまるなら、今日のセミナーが人生を変えるきっかけになるはずです。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd","[
  {
    ""url"": ""https://utage-system.com/p/W8wW6ShW0iHd"",
    ""action_id"": ""3Unj2dV0Qc39"",
    ""expiration_type"": ""none""
  }
]","{
    ""rules"":  [
                  {
                      ""key"":  ""label"",
                      ""condition"":  ""not-including"",
                      ""value"":  [
                                    ""2JXooWR9V9cd"",
                                    ""q3mX5zbyI4kI"",
                                    ""AjCisycMbEia"",
                                    ""r2vnCTyseMYh"",
                                    ""ztlcWnxeo2Gd"",
                                    ""44XxGPtTHwBN"",
                                    ""VHfYW7D9Sqaa"",
                                    ""l7UEdnmvTDIV""
                                ]
                  }
              ]
}","https://utage-system.com/account/3TS1vbmqlbNx/scenario/E5mkccX7YYbv/step/line/WC3827mBJFHO/edit","WC3827mBJFHO"
"5","4","META_VSL_10_未視聴","ステップ配信","22","LINE","META_VSL_10_未視聴_No.04","none","0日後 1:11（時刻指定）","稼働中","","","【LINEメッセージ 1／text】
正直、かなり驚きました...📣

「開成・東大卒の方としゃべる機会なんて今までなかった」
「会社経営のハードルがぐっと下がった」
「こんな私でも副業で成功できそう」

セミナー参加者から、こんな声をいただいています。

これまで1万人以上のサポートをしてきた僕だから言えます。

今の時代、学歴もキャリアも関係ない。
AIがあれば、誰でも一人で戦える。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd","[
  {
    ""url"": ""https://utage-system.com/p/W8wW6ShW0iHd"",
    ""action_id"": ""3Unj2dV0Qc39"",
    ""expiration_type"": ""none""
  }
]","{
    ""rules"":  [
                  {
                      ""key"":  ""label"",
                      ""condition"":  ""not-including"",
                      ""value"":  [
                                    ""2JXooWR9V9cd"",
                                    ""q3mX5zbyI4kI"",
                                    ""AjCisycMbEia"",
                                    ""r2vnCTyseMYh"",
                                    ""ztlcWnxeo2Gd"",
                                    ""44XxGPtTHwBN"",
                                    ""VHfYW7D9Sqaa"",
                                    ""l7UEdnmvTDIV""
                                ]
                  }
              ]
}","https://utage-system.com/account/3TS1vbmqlbNx/scenario/E5mkccX7YYbv/step/line/5daCsnJHV6yL/edit","5daCsnJHV6yL"
"6","4","META_VSL_10_未視聴","ステップ配信","21","LINE","META_VSL_10_未視聴_No.05","none","0日後 1:40（時刻指定）","稼働中","","","【LINEメッセージ 1／text】
1名の方から動画のリンクでエラーが出たと報告があったのですが、ご覧いただけていますか？👀

もし開けないなどあれば、
このLINEにそのままご返信ください。
すぐ対応いたします。","","{
    ""rules"":  [
                  {
                      ""key"":  ""label"",
                      ""condition"":  ""not-including"",
                      ""value"":  [
                                    ""2JXooWR9V9cd"",
                                    ""q3mX5zbyI4kI"",
                                    ""AjCisycMbEia"",
                                    ""r2vnCTyseMYh"",
                                    ""ztlcWnxeo2Gd"",
                                    ""44XxGPtTHwBN"",
                                    ""VHfYW7D9Sqaa"",
                                    ""l7UEdnmvTDIV""
                                ]
                  }
              ]
}","https://utage-system.com/account/3TS1vbmqlbNx/scenario/E5mkccX7YYbv/step/line/U6JMWtSYBm5q/edit","U6JMWtSYBm5q"
"7","4","META_VSL_10_未視聴","ステップ配信","20","LINE","META_VSL_10_未視聴_No.06","none","0日後 2:00（時刻指定）","稼働中","","","【LINEメッセージ 1／text】
どれが気になりますか？🔥

「AI×ひとり起業」の動画で、特に見てほしいところ👇

① AIで今、何ができるのか（最新の海外事例）
② なぜ今が最大のチャンスなのか
③ AIエージェント6人でサプリ事業を立ち上げるリアルデモ
④ 2人チームでゲームを制作した事例
⑤ 最初の100万円を3ヶ月で稼ぐ方法
etc...

【LINEメッセージ 2／button】
{
  ""seq"": 1,
  ""type"": ""button"",
  ""alt_text"": ""AI×ひとり起業 セミナー動画（見どころ①〜⑤）"",
  ""react_type"": ""free"",
  ""react_press_again_text"": null,
  ""thumbnail_image_url"": ""https://utagesystem.s3.ap-northeast-1.wasabisys.com/GX6OYW2fVtRD/vj9113W40AbX.png"",
  ""title"": ""AI×ひとり起業｜無料セミナー動画"",
  ""text"": ""①〜⑤の見どころを、この1本に凝縮。今すぐ視聴👇"",
  ""actions"": [
    {
      ""type"": ""url"",
      ""label"": ""▶ 動画を見る"",
      ""uri"": ""https://utage-system.com/p/W8wW6ShW0iHd"",
      ""add_label_id"": null,
      ""del_label_id"": null
    }
  ]
}","[
  {
    ""url"": ""https://utage-system.com/p/W8wW6ShW0iHd"",
    ""action_id"": ""3Unj2dV0Qc39"",
    ""expiration_type"": ""none""
  }
]","{
    ""rules"":  [
                  {
                      ""key"":  ""label"",
                      ""condition"":  ""not-including"",
                      ""value"":  [
                                    ""2JXooWR9V9cd"",
                                    ""q3mX5zbyI4kI"",
                                    ""AjCisycMbEia"",
                                    ""r2vnCTyseMYh"",
                                    ""ztlcWnxeo2Gd"",
                                    ""44XxGPtTHwBN"",
                                    ""VHfYW7D9Sqaa"",
                                    ""l7UEdnmvTDIV""
                                ]
                  }
              ]
}","https://utage-system.com/account/3TS1vbmqlbNx/scenario/E5mkccX7YYbv/step/line/sFwFyXeWR1rB/edit","sFwFyXeWR1rB"
