"No.","レビュー状態","行種別","フェーズ","シナリオ名","管理ID","対象・入口条件","配信タイミング","媒体","推奨形式","管理名称","件名","本文（全文・編集可）","CTA文言","CTA URL／変数","付与ラベル","解除ラベル","停止・除外条件","終了条件／次シナリオ","実装メモ","画像URL（YouTube原本）","画像プレビュー（セル内）","UTAGE挿入位置","画像内テキスト","使用指示・注意"
"1","レビュー中","アクション","入口","IG_00_入口","ACT-ENTRY","Instagram 10大特典から専用LINEへ登録","登録直後","UTAGE","ラベル・シナリオ遷移","媒体入口","","媒体別アカウント・ラベルを混在させない","","","src_instagram_10benefits / line_main_registered / ig_benefit_1to4_delivered / offer_seminar_active","","roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","IG_10_セミナー募集","新規LINE登録のみを入口にする。登録直後からセミナー以外のオファーを同時起動しない。","","","","",""
"2","レビュー中","アクション","セミナー","IG_15_申込完了","ACT-SEM-REG","セミナー申込完了","申込直後","UTAGE","ラベル・シナリオ遷移","セミナー申込完了","","名前・メール必須","","","seminar_main_registered / offer_seminar_active","seminar_main_offered / seminar_page_clicked_unregistered","roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","IG_20_申込者リマインド","申込完了で通常募集とSEM-Cを即停止。セミナー終了まではoffer_seminar_activeを維持。","","","","",""
"3","レビュー中","アクション","面談","IG_25_面談予約完了","ACT-RM-BOOK","ロードマップ作成会予約完了","予約直後","UTAGE","ラベル・シナリオ遷移","面談予約完了","","予約時点でVSL・募集を停止","","","roadmap_booked","offer_seminar_active / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / offer_noshow_rebook_active / seminar_main_offered / vsl_main_offered / vsl_main_started / vsl_main_completed / roadmap_page_clicked_unbooked / roadmap_noshow_1 / roadmap_noshow_2plus / openchat_invited","meeting_completed / sales_won / sales_stop","IG_80_面談リマインド","初回予約・再予約とも同じ完了アクション。予約時点で他オファーをすべて停止。","","","","",""
"4","レビュー中","アクション","見逃し","IG_30_再公開確認開始","ACT-RQ-START","セミナー申込済み・面談未実施","セミナー終了後","UTAGE","ラベル・シナリオ遷移","再公開希望確認開始","","参加／欠席を問わない","","","offer_vsl_confirmation_active","offer_seminar_active / seminar_main_offered / seminar_page_clicked_unregistered","offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","IG_30_再公開希望確認","参加／欠席を判定しない。未申込者はACT-SEM-END-NOREGから同じRQ3通へ合流。","","","","",""
"5","レビュー中","アクション","見逃し","IG_35_再公開希望","ACT-RQ-CLICK","RQ-01〜03の再公開希望ボタン押下（1人1回）","クリック直後・ここをVSL開始時刻に保存","UTAGE","ラベル・シナリオ遷移","3日VSL公開","","押した人だけ72時間VSLへ登録。押下時刻＋72時間をVSL終了日時として保存。","","","vsl_replay_requested / vsl_main_offered / offer_vsl_active","offer_vsl_confirmation_active / offer_seminar_active / openchat_invited","offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","IG_40_VSL未視聴","同じボタンの再押下で期限やシナリオをリセットしない。VSL開始・終了日時は初回押下で固定。","","","","",""
"6","レビュー中","アクション","VSL","IG_45_視聴開始","ACT-VSL-START","VSLページを開いて視聴開始","クリック直後","UTAGE","ラベル・シナリオ遷移","VSL視聴開始","","未視聴シナリオを即停止し、途中視聴へ移行。","","","vsl_main_started / offer_vsl_active","","vsl_main_completed / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","IG_50_VSL途中","YouTubeと同じ視聴開始判定を使用。未視聴15通と途中10通を重ねない。","","","","",""
"7","レビュー中","アクション","VSL","IG_55_視聴完了","ACT-VSL-COMPLETE","VSL完了地点到達","到達直後","UTAGE","ラベル・シナリオ遷移","VSL視聴完了","","未視聴・途中視聴を即停止し、完了後面談へ移行。","","","vsl_main_completed / offer_vsl_active","vsl_main_started","offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","IG_60_VSL完了_面談","完了時点でVSL-U／VSL-Pを解除。完了シーケンスだけを残す。","","","","",""
"8","レビュー中","アクション","VSL","IG_65_期限切れ","ACT-VSL-EXPIRE","再公開ボタン初回押下から72時間・面談未実施・面談ページ未クリック","ボタン初回押下から厳密に72時間後","UTAGE","ラベル・シナリオ遷移","VSL期限切れ","","72時間VSLを終了。面談ページ48時間催促中はこのアクションを実行しない。","","","vsl_main_expired","vsl_main_started / vsl_main_offered / offer_vsl_active","roadmap_page_clicked_unbooked / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop / offer_noshow_rebook_active","IG_90_オプチャ案内","面談ページクリック済みならACT-CONSULT-EXPIREまで待機。VSL期限と面談48時間を重ねない。","","","","",""
"9","レビュー中","アクション","終了","IG_90_未転換終了","ACT-OPENCHAT","セミナー未申込／RQ未希望／VSL未転換／面談48時間未予約／無断欠席未再予約のうち面談未実施","LINE登録14日後以降かつ全上位オファー終了の翌朝10:00","UTAGE","ラベル・シナリオ遷移","オプチャ移行","","まだ面談を実施していない未転換者だけをオプチャへ移行。","","","openchat_invited","offer_seminar_active / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / offer_noshow_rebook_active","offer_seminar_active / offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / offer_noshow_rebook_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","IG_90_オプチャ案内","原則LINE登録14日後。ただし上位オファー稼働中は終了まで延期。面談後のオプチャは手動のみ。","","","","",""
"10","レビュー中","アクション","最優先","IG_99_営業結果","ACT-SALES","面談完了後の営業結果を手動更新","面談終了後","UTAGE","ラベル・シナリオ遷移","上位状態停止","","meeting_completedを前提に営業結果4択を記録。自動ファネルは再開しない。","","","sales_won / sales_next_meeting / sales_no_next_meeting / sales_stop","","meeting_completed必須","手動運用","14番はYouTubeの4択を維持。ただし今回の確定事項により面談済みはゴールで、自動オプチャ・自動セミナー再開は行わない。","","","","",""
"11","レビュー中","アクション","セミナー","IG_12_セミナー申込ページクリック","ACT-SEM-PAGE","セミナー申込URL初回クリック・未申込","クリック直後","UTAGE","ラベル・シナリオ遷移","セミナー申込ページ離脱","","通常のセミナー未申込配信を即停止し、SEM-Cだけへ移行。","","","seminar_page_clicked / seminar_page_clicked_unregistered / offer_seminar_active","seminar_main_offered","offer_vsl_confirmation_active / offer_vsl_active / offer_consult_48h_active / seminar_main_registered / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop / offer_noshow_rebook_active","IG_13_セミナー申込ページクリック未申込","全セミナー申込CTAへ同一アクションを設定。初回だけ登録し、再クリックでSEM-Cをリセットしない。","","","","",""
"12","レビュー中","アクション","面談","IG_26_面談ページクリック","ACT-RM-PAGE","VSL完了後のロードマップ作成会ページ初回クリック・未予約","クリック直後・ここを48時間開始時刻に保存","UTAGE","ラベル・シナリオ遷移","面談ページ離脱","","VSL完了シーケンス・VSL期限・オプチャを停止し、48時間の面談催促だけへ移行。","","","roadmap_page_clicked / roadmap_page_clicked_unbooked / offer_consult_48h_active","offer_vsl_confirmation_active / offer_vsl_active / vsl_main_offered / vsl_main_started / vsl_main_completed / openchat_invited","roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop / offer_noshow_rebook_active","IG_27_面談ページクリック未予約","全ロードマップCTAへ同一アクション。初回クリック時刻＋48時間でフォームを厳密に閉鎖。再クリックで期限を延長しない。","","","","",""
"13","レビュー中","アクション","面談無断欠席","IG_81_面談無断欠席","ACT-RM-NOSHOW","ロードマップ作成会の無断欠席を確認（事前キャンセル・日程変更は除く）","欠席確認直後","UTAGE","ラベル・シナリオ遷移","面談無断欠席","","YouTube同様、初回はroadmap_noshow_1、2回目以降はroadmap_noshow_2plus。再予約案内へ。","","","roadmap_noshow_1 または roadmap_noshow_2plus / offer_noshow_rebook_active","roadmap_booked / sales_in_progress / openchat_invited","再予約済／meeting_completed／成約／営業停止は除外","IG_81_面談無断欠席再予約","事前キャンセル・日程変更では欠席回数を増やさない。無断欠席3通の間はoffer_noshow_rebook_activeで他オファーを止める。","","","","",""
"14","レビュー中","アクション","セミナー終了","IG_29_セミナー終了未申込","ACT-SEM-END-NOREG","セミナー開催終了・未申込・面談未実施","セミナー終了直後（LINE登録14日目前後）","UTAGE","ラベル・シナリオ遷移","未申込→アーカイブ希望確認","","通常募集と申込ページクリック後催促を停止し、再公開希望確認3通へ一本化する","","","seminar_main_unregistered_closed / offer_vsl_confirmation_active","offer_seminar_active / seminar_main_offered / seminar_page_clicked_unregistered","offer_consult_48h_active / roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop / offer_noshow_rebook_active","IG_30_再公開希望確認","YouTube統合表 RQ-01〜03を使用。セミナー未申込者も対象。ほかの上位オファーが稼働中なら開始しない。","","","","",""
