"シナリオ","No.","メッセージID","配信種別","経過日数","登録後の経過時間","推奨形式","リンク有無","メッセージ本文"
"動画未視聴","1","254009","step-diff","0日","0:00","テキスト＋リンク","あり","「AI×ひとり起業」の動画をお届けします！ ✨

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd

動画の視聴可能期間は
＼明日23:59までの限定公開／です。"
"動画未視聴","2","254329","step-diff","0日","0:20","テキスト","なし","こんな収入、想像できますか？ 👀 😊

・月収60万のフリーランス（元うつ直前の29歳）
・クビになった無職が2ヶ月で月利25万超
・2人チームでゲーム制作、売上60億超

全員に共通しているのは「AIを使った一人起業」です。

「AI×ひとり起業」の動画では、その全貌をお伝えしています。"
"動画未視聴","3","254330","step-diff","0日","0:40","テキスト＋リンク","あり","あなたはどれですか？ 💡

✓ AIを使いたいけど何から始めればいいかわからない
✓ AIとビジネスが結びつかない
✓ 副業をやってみたが全然稼げなかった
✓ 現状のまま生活を続けた将来が不安
✓ 顔や名前を出さずに稼ぎたい
✓ 気を遣う組織の人間関係に疲れた
✓ 何か自分ならヒットさせられる自信がある

1つでも当てはまるなら、今日のセミナーが人生を変えるきっかけになるはずです。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","4","254331","step-diff","0日","1:11","テキスト＋リンク","あり","正直かなり驚きました... 📣

「開成・東大卒の方としゃべる機会なんて今までなかった」

「会社経営のハードルがぐっと下がった」

「こんな私でも副業で成功できそう」

セミナー参加者から、こんな声をいただいています。

これまで1万人以上のサポートをしてきた僕だから言えます。

今の時代、学歴もキャリアも関係ない。

AIがあれば、誰でも一人で戦える。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","5","254332","step-diff","0日","1:40","テキスト","なし","１名の方から動画のリンクでエラーが出たと報告があったのですが、ご覧いただけていますか？ 🙌 👀

もし開けないなどあれば、このLINEにそのままご返信ください。すぐ対応いたします。"
"動画未視聴","6","254333","step-diff","0日","2:00","テキスト＋リンク","あり","どれが気になりますか？ 🔥

「AIでひとり起業」動画で見てほしいところ
↓

① AIで今何ができるのか（最新海外事例）
② なぜ今が最大のチャンスなのか
③ AIエージェント6人でサプリ事業を立ち上げるリアルデモ
④ 2人チームでゲーム制作→売上60億の事例
⑤ 最初の100万円を3ヶ月で稼ぐ方法
etc...
こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","7","254334","step-diff","0日","3:00","テキスト＋リンク","あり","知ってました？ 🌱

AIで一人起業して成功している人の共通点は
「これまでのキャリアと全く関係ない事業にチャレンジしている」ことです。

パソコンを触ったことがない人でも、コードが書けない人でも、今日からできる話です。

具体的な事例は動画セミナーの中で紹介しています

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","8","254335","step-diff","0日","4:00","テキスト","なし","こんなLINEが来ました。 💡 🙌

「すやさんの動画を見て、昨日まで何もできない自分だと思っていたのに、今日から変われる気がしてきました」

あなたにも、ぜひこの感覚を体験してほしいです。"
"動画未視聴","9","254336","step-diff","0日","6:00","テキスト＋リンク","あり","【炎上覚悟】今の会社員の現実 ✨

弁護士の国家資格の残存年数：
14年
行政書士の残存年数：
4年
トラック運転手：
12年

AIによって、仕事の半分以上が置き換えられる時代が来ています。

「AIを使って稼ぐ側」に回るための方法を、今日の動画で全部話しています。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
"動画未視聴","10","254337","step-time","1日","12:00","テキスト＋リンク","あり","「AIで稼げる」は幻想じゃない。 😊

動画動画では、実際にClode codeというAIエージェントを使って、睡眠サプリ事業をゼロから立ち上げるデモをリアルでやっています。

OEM工場のリサーチから商品デザイン・広告動画制作まで、全部AIが10分〜2時間でやってしまう。

ぜひ見てください。

こちらからご覧ください👇
https://utage-system.com/p/W8wW6ShW0iHd"
