"ID","シナリオ","配信タイミング","推奨形式","件名","本文","CTA","停止・自動処理"
"ENT-01","LINE登録・キーワード・特典配布","LINE登録直後","テキスト","","[name]さん、登録ありがとうございます。すやです。

[YouTube動画名]でお伝えした特典をお送りします。

このLINEに
[キーワード]
と、そのまま送ってください。確認でき次第、すぐにお渡しします。","[キーワード]を送信",""
"ENT-02","LINE登録・キーワード・特典配布","登録10分後・キーワードなし","テキスト","","[name]さん、キーワードの送信は大丈夫そうですか？

このLINEに [キーワード] と送ると、動画でご案内した特典を受け取れます。

どの動画だったか分からなくなった場合は、動画名やURLを送ってください。こちらで確認します。","キーワード／動画名を返信",""
"ENT-03","LINE登録・キーワード・特典配布","誤字・未登録キーワード","テキスト","","送っていただきありがとうございます。

こちらで特典を特定したいので、見ていたYouTube動画のタイトルかURLを送ってもらえますか？確認でき次第、該当の特典をお送りします。","動画名／URLを返信",""
"ENT-04","LINE登録・キーワード・特典配布","正しいキーワード受信直後","画像パネル＋ボタン","","[name]さん、お待たせしました。

動画特典の 「[特典名]」 です。

これを使うと、[特典で得られること]。まずはこちらから受け取ってください。

[特典URL]

受け取ったあと、使い方で迷わないための無料サポートも案内します。","特典を受け取る",""
"SUP-B01","[特典名] 活用サポート会：特典受取済み・予約ページ未クリック 8通","特典配布30分後","テキスト","","[name]さん、特典をお受け取りくださりありがとうございます。

読んで「自分なら何から始める？」が少しでも曖昧なら、30分の活用サポート会で一緒に整理できます。","サポート会を見る",""
"SUP-B02","[特典名] 活用サポート会：特典受取済み・予約ページ未クリック 8通","3時間後","テキスト＋ボタン","","特典は、読むだけより自分の状況に当てはめると一気に使いやすくなります。

今の仕事・得意なこと・AI経験を伺い、最初にやることを絞ります。Zoom30分、無料です。","日程を確認する",""
"SUP-B03","[特典名] 活用サポート会：特典受取済み・予約ページ未クリック 8通","8時間後","テキスト","","「まだ相談するほど整理できていない」と思っている方ほど大丈夫です。

整理するための会なので、準備や資料は不要です。必要があればサービスの案内もしますが、まずは特典を使える形にすることから始めます。

[サポート会予約URL]","準備なしで予約する",""
"SUP-B04","[特典名] 活用サポート会：特典受取済み・予約ページ未クリック 8通","翌日09:00","画像パネル＋ボタン","","知ったことを、今日の一歩へ。

[特典名]の内容を、あなたの状況に合わせた行動へ落とし込みます。","30分Zoomを予約する",""
"SUP-B05","[特典名] 活用サポート会：特典受取済み・予約ページ未クリック 8通","翌日14:00","テキスト","","[name]さんが今つまずいているのは、AIツールの不足ではなく「何に使うか」が決まっていないからかもしれません。

その優先順位を30分で一緒に整理します。","空いている日時を見る",""
"SUP-B06","[特典名] 活用サポート会：特典受取済み・予約ページ未クリック 8通","翌日20:00","テキスト＋ボタン","","今日のうちに予約だけ取っておけば、面談日までに特典を読み直せます。

名前とメールアドレスの2項目で予約できます。","予約へ進む",""
"SUP-B07","[特典名] 活用サポート会：特典受取済み・予約ページ未クリック 8通","2日目10:00","テキスト","","活用サポート会の無料受付は本日までです。

特典は引き続き使えますが、個別に一緒に整理する機会が必要なら、今日中に日程を押さえてください。

[サポート会予約URL]","本日分を確認する",""
"SUP-B08","[特典名] 活用サポート会：特典受取済み・予約ページ未クリック 8通","2日目20:00","画像パネル＋ボタン","","本日で受付終了です。

[特典名]を「いつか使う情報」で終わらせず、自分の行動へ変えたい方は、最後にこちらから予約してください。","受付終了前に予約する",""
