"ファネル","承認元シート","No.","レビュー状態","行種別","フェーズ","シナリオ名","管理ID","対象・入口条件","配信タイミング","媒体","推奨形式","管理名称","件名","本文（全文・編集可）","CTA文言","CTA URL／変数","付与ラベル","解除ラベル","停止・除外条件","終了条件／次シナリオ","実装メモ","画像URL（YouTube原本）","画像プレビュー（セル内）","UTAGE挿入位置","画像内テキスト","使用指示・注意"
"Meta広告_セミナー直行","REVIEW_METAセミナー直行_20260810","1","レビュー中","アクション","入口","META_SEM_00_入口","ACT-ENTRY","Metaセミナー広告からLINE登録","登録直後","UTAGE","ラベル・シナリオ遷移","媒体入口","","Meta専用の2日程セミナー募集を即開始。Zoomサポート会は起動しない。","","","src_meta_seminar / line_main_registered / offer_seminar_active","","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","META_SEM_10_2日程提示","既存読者は状態別移行。新規読者は全員2026-08-10版へ。","","","","",""
"Meta広告_セミナー直行","REVIEW_METAセミナー直行_20260810","2","レビュー中","アクション","セミナー","META_SEM_15_申込完了","ACT-SEM-REG","Meta第1または第2日程のセミナー申込完了","申込直後","UTAGE","ラベル・シナリオ遷移","セミナー申込完了","","選択した開催日程を保存し、未申込募集を即停止。","","","seminar_meta_registered / seminar_meta_schedule_1 または 2 / offer_seminar_active","seminar_main_offered / seminar_page_clicked_unregistered / seminar_date_unavailable","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","META_SEM_20_申込者リマインド","申込日程を基準にリマインドし、開催翌朝06:00の面談案内へ。","","","","",""
"Meta広告_セミナー直行","REVIEW_METAセミナー直行_20260810","3","レビュー中","アクション","面談","META_SEM_25_面談予約完了","ACT-RM-BOOK","個別面談の予約完了","予約完了時","UTAGE","ラベル・シナリオ遷移","面談予約完了","","予約完了を全オファーの停止点にする。","","","roadmap_booked","offer_seminar_active / offer_vsl_active / offer_consult_day_active / offer_consult_48h_active / offer_noshow_rebook_active / openchat_invited","meeting_completed / sales_won / sales_stop","META_SEM_80_面談リマインド","別の個別面談用公式LINEとの連携必須。実装時に両UTAGEアカウントの予約完了イベントと照合キーを確認。","","","","",""
"Meta広告_セミナー直行","REVIEW_METAセミナー直行_20260810","4","レビュー中","アクション","見逃し","META_SEM_30_開催翌朝面談案内開始","ACT-POSTSEM-CONSULT","セミナー申込済み・面談未予約","申込したセミナー開催日の翌朝06:00","UTAGE","ラベル・シナリオ遷移","参加者向け面談案内開始","","参加／欠席は判定せず、ロードマップ作成会を当日23:59まで案内。","","","offer_consult_day_active","offer_seminar_active / seminar_main_offered","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","META_SEM_30_参加者向け面談案内","イベント開始15分後ではなく翌朝06:00。","","","","",""
"Meta広告_セミナー直行","REVIEW_METAセミナー直行_20260810","5","レビュー中","アクション","見逃し","META_SEM_35_日程不可VSL即時開始","ACT-NODATE-VSL","「どちらの日程も合わない」ボタン初回押下","クリック直後","UTAGE","ラベル・シナリオ遷移","前回企画ダイジェストVSL開始","","セミナー募集を即停止し、同じVSLを前回企画ダイジェスト版として72時間公開。","","","seminar_date_unavailable / vsl_main_offered / offer_vsl_active","offer_seminar_active / seminar_main_offered / seminar_page_clicked_unregistered","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","META_SEM_40_VSL_未開封","初回クリック時刻をVSL開始日時として固定。再クリックで延長しない。","","","","",""
"Meta広告_セミナー直行","REVIEW_METAセミナー直行_20260810","6","レビュー中","アクション","VSL","META_SEM_45_視聴開始","ACT-VSL-START","VSLページクリック","クリック直後","UTAGE","ラベル・シナリオ遷移","VSL視聴開始","","未視聴を停止","","","vsl_main_started","","roadmap_booked / sales_in_progress / sales_next_meeting / sales_won / sales_stop","META_SEM_50_VSL途中","未視聴を停止","","","","",""
"Meta広告_セミナー直行","REVIEW_METAセミナー直行_20260810","7","レビュー中","アクション","VSL","META_SEM_55_視聴完了","ACT-VSL-COMPLETE","VSL完了地点到達","到達直後","UTAGE","ラベル・シナリオ遷移","VSL視聴完了","","完了者へ面談","","","vsl_main_completed","vsl_main_started","roadmap_booked / sales_in_progress / sales_next_meeting / sales_won / sales_stop","META_SEM_60_VSL完了_面談","完了者へ面談","","","","",""
"Meta広告_セミナー直行","REVIEW_METAセミナー直行_20260810","8","レビュー中","アクション","VSL","META_SEM_65_期限切れ","ACT-VSL-EXPIRE","VSL開始から72時間・面談未予約","VSL初回開始時刻から厳密に72時間後","UTAGE","ラベル・シナリオ遷移","VSL期限切れ","","72時間VSLを終了し、面談予約済みでなければオプチャへ。","","","vsl_main_expired","vsl_main_started / vsl_main_offered / offer_vsl_active","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop / offer_noshow_rebook_active","META_SEM_90_オプチャ案内","全VSL入口で同じ72時間判定。","","","","",""
"Meta広告_セミナー直行","REVIEW_METAセミナー直行_20260810","9","レビュー中","アクション","終了","META_SEM_90_未転換終了","ACT-OPENCHAT","VSL72時間終了・面談未予約","各上位オファー終了直後","UTAGE","ラベル・シナリオ遷移","オプチャ移行","","まだ面談予約・実施していない未転換者だけをオプチャへ。","","","openchat_invited","offer_seminar_active / offer_vsl_active / offer_consult_day_active / offer_consult_48h_active / offer_noshow_rebook_active","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","META_SEM_90_オプチャ案内","面談予約済み・面談済みは自動対象外。","","","","",""
"Meta広告_セミナー直行","REVIEW_METAセミナー直行_20260810","10","レビュー中","アクション","最優先","META_SEM_99_営業結果","ACT-SALES","営業結果更新","即時","UTAGE","ラベル・シナリオ遷移","上位状態停止","","上位状態で下位シナリオを停止","","","sales_won / sales_next_meeting / sales_no_next_meeting / sales_stop","","","該当する最上位状態","上位状態で下位シナリオを停止","","","","",""
