"ファネル","承認元シート","No.","シナリオ順","シナリオ名","配信区分","区分内順","媒体","管理名称","配信基準","配信タイミング","ステータス","送信元","件名","本文_M（原本）","本文_N（構造化原本）","本文_O（転記候補）","本文_P（補助文）","URL・ボタン／アクション","配信条件","UTAGE編集URL","メッセージID"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","1","ACTION","YT_00_ゆっくりAI入口","アクション","1","LINE","ACT-ENTRY","状態遷移","新規LINE登録時","レビュー確定（要UTAGE実装）","","","ゆっくりAI専用の新規読者としてsrc_youtube_yukkuri_aiを付与し、キーワード受付を開始。表示用動画名は[ゆっくりAI動画名]。既存読者は旧ルートを完走させる。","ゆっくりAI専用の新規読者としてsrc_youtube_yukkuri_aiを付与し、キーワード受付を開始。表示用動画名は[ゆっくりAI動画名]。既存読者は旧ルートを完走させる。","ゆっくりAI専用の新規読者としてsrc_youtube_yukkuri_aiを付与し、キーワード受付を開始。表示用動画名は[ゆっくりAI動画名]。既存読者は旧ルートを完走させる。","ゆっくりAI専用の新規読者としてsrc_youtube_yukkuri_aiを付与し、キーワード受付を開始。表示用動画名は[ゆっくりAI動画名]。既存読者は旧ルートを完走させる。","src_youtube_yukkuri_ai付与→登録直後シナリオ開始","ゆっくりAI専用新規LINE登録経路のみ。2026-08-10以降の新規流入。","[UTAGE実装時作成]","ACT-ENTRY"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","2","ACTION","YT_05_特典配布完了","アクション","1","LINE","ACT-BENEFIT-DELIVERED","状態遷移","キーワード受信時","レビュー確定（要UTAGE実装）","","","特典受信を成立点として、登録直後・キーワード催促を停止し、特典配布完了へ即時遷移。特典リンクのクリック有無では分岐しない。","特典受信を成立点として、登録直後・キーワード催促を停止し、特典配布完了へ即時遷移。特典リンクのクリック有無では分岐しない。","特典受信を成立点として、登録直後・キーワード催促を停止し、特典配布完了へ即時遷移。特典リンクのクリック有無では分岐しない。","特典受信を成立点として、登録直後・キーワード催促を停止し、特典配布完了へ即時遷移。特典リンクのクリック有無では分岐しない。","登録直後/キーワード催促を停止→特典配布完了シナリオ開始","キーワード受信。予約完了・面談済み・成約・営業停止は除外。","[UTAGE実装時作成]","ACT-BENEFIT-DELIVERED"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","3","ACTION","YT_15_Zoomサポート予約完了","アクション","1","LINE","ACT-SUPPORT-BOOKED","状態遷移","予約完了時","レビュー確定（要UTAGE実装）","","","Zoomサポート会の予約完了を停止点とし、Zoomサポート募集と下位オファーを停止。予約リマインドだけを配信する。","Zoomサポート会の予約完了を停止点とし、Zoomサポート募集と下位オファーを停止。予約リマインドだけを配信する。","Zoomサポート会の予約完了を停止点とし、Zoomサポート募集と下位オファーを停止。予約リマインドだけを配信する。","Zoomサポート会の予約完了を停止点とし、Zoomサポート募集と下位オファーを停止。予約リマインドだけを配信する。","Zoomサポート募集停止→予約リマインドへ移行","Zoomサポート予約完了。予約完了が判定できる連携を使用。","[UTAGE実装時作成]","ACT-SUPPORT-BOOKED"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","4","ACTION","YT_19_Zoomサポート受付終了","アクション","1","LINE","ACT-SUPPORT-EXPIRE","状態遷移","シナリオ流入翌日 23:59","レビュー確定（要UTAGE実装）","","","Zoomサポート会未予約者の募集を終了し、翌朝06:00からYouTube/Instagram共通セミナー募集へ移行。","Zoomサポート会未予約者の募集を終了し、翌朝06:00からYouTube/Instagram共通セミナー募集へ移行。","Zoomサポート会未予約者の募集を終了し、翌朝06:00からYouTube/Instagram共通セミナー募集へ移行。","Zoomサポート会未予約者の募集を終了し、翌朝06:00からYouTube/Instagram共通セミナー募集へ移行。","Zoomサポート募集停止→翌朝06:00セミナー募集開始","Zoomサポート未予約者のみ。予約完了・面談済み・成約・営業停止は除外。","[UTAGE実装時作成]","ACT-SUPPORT-EXPIRE"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","5","ACTION","YT_25_セミナー申込完了","アクション","1","LINE","ACT-SEM-REG","状態遷移","セミナー申込完了時","レビュー確定（要UTAGE実装）","","","選択した日程のセミナー申込完了を成立点とし、未申込者向け募集を全停止。申込日程のリマインドへ移行する。","選択した日程のセミナー申込完了を成立点とし、未申込者向け募集を全停止。申込日程のリマインドへ移行する。","選択した日程のセミナー申込完了を成立点とし、未申込者向け募集を全停止。申込日程のリマインドへ移行する。","選択した日程のセミナー申込完了を成立点とし、未申込者向け募集を全停止。申込日程のリマインドへ移行する。","セミナー募集停止→申込日程リマインドへ移行","セミナー申込完了。日程1・日程2のイベントごとに判定。","[UTAGE実装時作成]","ACT-SEM-REG"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","6","ACTION","YT_26_日程不可VSL即時開始","アクション","1","LINE","ACT-NODATE-VSL","状態遷移","「どちらの日程も合わない」初回クリック時","レビュー確定（要UTAGE実装）","","","セミナー募集を即時停止し、「前回企画のダイジェスト版」として72時間VSLを開始。初回クリック時刻を期限起点として固定し、再クリックで延長しない。","セミナー募集を即時停止し、「前回企画のダイジェスト版」として72時間VSLを開始。初回クリック時刻を期限起点として固定し、再クリックで延長しない。","セミナー募集を即時停止し、「前回企画のダイジェスト版」として72時間VSLを開始。初回クリック時刻を期限起点として固定し、再クリックで延長しない。","セミナー募集を即時停止し、「前回企画のダイジェスト版」として72時間VSLを開始。初回クリック時刻を期限起点として固定し、再クリックで延長しない。","セミナー募集停止→72時間VSL即時開始","日程不可ボタン初回クリック。既にVSL中・面談予約済み・面談済みは除外。","[UTAGE実装時作成]","ACT-NODATE-VSL"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","7","ACTION","YT_29_第2日程終了未申込","アクション","1","LINE","ACT-SEM2-END-NOREG","状態遷移","第2日程終了の翌朝 06:00","レビュー確定（要UTAGE実装）","","","2日程とも未申込だった人を確認ボタンなしで72時間VSLへ自動移行する。","2日程とも未申込だった人を確認ボタンなしで72時間VSLへ自動移行する。","2日程とも未申込だった人を確認ボタンなしで72時間VSLへ自動移行する。","2日程とも未申込だった人を確認ボタンなしで72時間VSLへ自動移行する。","セミナー募集停止→72時間VSL開始","第2日程終了時点でセミナー未申込。面談予約済み・面談済み・成約・営業停止は除外。","[UTAGE実装時作成]","ACT-SEM2-END-NOREG"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","8","ACTION","YT_30_開催翌朝面談案内","アクション","1","LINE","ACT-POSTSEM-CONSULT","状態遷移","本人が申し込んだセミナー開催翌朝 06:00","レビュー確定（要UTAGE実装）","","","セミナー申込済み・個別ロードマップ作成会未予約者へ面談案内を開始。受付は当日23:59で厳密に終了する。","セミナー申込済み・個別ロードマップ作成会未予約者へ面談案内を開始。受付は当日23:59で厳密に終了する。","セミナー申込済み・個別ロードマップ作成会未予約者へ面談案内を開始。受付は当日23:59で厳密に終了する。","セミナー申込済み・個別ロードマップ作成会未予約者へ面談案内を開始。受付は当日23:59で厳密に終了する。","セミナーリマインド停止→面談案内開始","セミナー申込済みかつ面談未予約。参加/欠席は判定しない。","[UTAGE実装時作成]","ACT-POSTSEM-CONSULT"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","9","ACTION","YT_39_面談受付終了","アクション","1","LINE","ACT-POSTSEM-CONSULT-EXPIRE","状態遷移","面談案内当日 23:59","レビュー確定（要UTAGE実装）","","","個別ロードマップ作成会の受付を実際にクローズし、未予約者を翌朝06:00から72時間VSLへ移行する。","個別ロードマップ作成会の受付を実際にクローズし、未予約者を翌朝06:00から72時間VSLへ移行する。","個別ロードマップ作成会の受付を実際にクローズし、未予約者を翌朝06:00から72時間VSLへ移行する。","個別ロードマップ作成会の受付を実際にクローズし、未予約者を翌朝06:00から72時間VSLへ移行する。","面談案内停止→翌朝06:00に72時間VSL開始","面談未予約者のみ。受付フォームも23:59で閉鎖。","[UTAGE実装時作成]","ACT-POSTSEM-CONSULT-EXPIRE"
"YouTube_ゆっくりAI","REVIEW_YouTube_ゆっくりAI_20260810","10","ACTION","YT_45_VSL視聴開始","アクション","1","LINE","ACT-VSL-START","状態遷移","VSL視聴開始時","レビュー確定（要UTAGE実装）","","","未視聴者向け案内を即時停止し、途中視聴者向けの配信だけを有効化する。","未視聴者向け案内を即時停止し、途中視聴者向けの配信だけを有効化する。","未視聴者向け案内を即時停止し、途中視聴者向けの配信だけを有効化する。","未視聴者向け案内を即時停止し、途中視聴者向けの配信だけを有効化する。","未視聴シーケンス停止→途中視聴シーケンス開始","72時間VSL有効期間内。面談予約済み・面談済みは除外。","[UTAGE実装時作成]","ACT-VSL-START"
