"ファネル","承認元シート","No.","レビュー状態","行種別","フェーズ","シナリオ名","管理ID","対象・入口条件","配信タイミング","媒体","推奨形式","管理名称","件名","本文（全文・編集可）","CTA文言","CTA URL／変数","付与ラベル","解除ラベル","停止・除外条件","終了条件／次シナリオ","実装メモ","画像URL（YouTube原本）","画像プレビュー（セル内）","UTAGE挿入位置","画像内テキスト","使用指示・注意"
"Instagram_10大特典","REVIEW_Instagram10大特典_20260810","1","レビュー中","アクション","入口","IG_00_入口","ACT-ENTRY","Instagram 10大特典から新規LINE登録","登録直後","UTAGE","ラベル・シナリオ遷移","媒体入口","","特典①〜④を即時配布。Zoomサポート会は起動しない。","","","src_instagram_10benefits / line_main_registered / ig_benefit_1to4_delivered / offer_seminar_active","","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","IG_10_セミナー募集","新規登録者だけ2026-08-10版へ。既存読者は旧ルート完走。","","","","",""
"Instagram_10大特典","REVIEW_Instagram10大特典_20260810","2","レビュー中","アクション","セミナー","IG_15_申込完了","ACT-SEM-REG","第1または第2日程のセミナー申込完了","申込直後","UTAGE","ラベル・シナリオ遷移","セミナー申込完了","","選択した開催日程を保存し、未申込募集を即停止。","","","seminar_main_registered / seminar_schedule_1 または seminar_schedule_2 / offer_seminar_active","seminar_main_offered / seminar_page_clicked_unregistered / seminar_date_unavailable","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","IG_20_申込者リマインド","申込日程を基準にリマインドし、開催翌朝06:00の面談案内へ進む。","","","","",""
"Instagram_10大特典","REVIEW_Instagram10大特典_20260810","3","レビュー中","アクション","面談","IG_25_面談予約完了","ACT-RM-BOOK","個別面談の予約完了","予約完了時","UTAGE","ラベル・シナリオ遷移","面談予約完了","","予約完了を全オファーの停止点にする。","","","roadmap_booked","offer_seminar_active / offer_vsl_active / offer_consult_day_active / offer_consult_48h_active / offer_noshow_rebook_active / openchat_invited","meeting_completed / sales_won / sales_stop","IG_80_面談リマインド","別の個別面談用公式LINEとの連携必須。実装時に両UTAGEアカウントの予約完了イベントと照合キーを確認。","","","","",""
"Instagram_10大特典","REVIEW_Instagram10大特典_20260810","4","レビュー中","アクション","見逃し","IG_30_開催翌朝面談案内開始","ACT-POSTSEM-CONSULT","セミナー申込済み・面談未予約","申込したセミナー開催日の翌朝06:00","UTAGE","ラベル・シナリオ遷移","参加者向け面談案内開始","","参加／欠席は判定せず、ロードマップ作成会を当日23:59まで案内。","","","offer_consult_day_active","offer_seminar_active / seminar_main_offered","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","IG_30_参加者向け面談案内","現在UTAGEの『イベント開始15分後』設定は使わない。","","","","",""
"Instagram_10大特典","REVIEW_Instagram10大特典_20260810","5","レビュー中","アクション","見逃し","IG_35_日程不可VSL即時開始","ACT-NODATE-VSL","「どちらの日程も合わない」ボタン初回押下","クリック直後","UTAGE","ラベル・シナリオ遷移","前回企画ダイジェストVSL開始","","セミナー募集を即停止し、同じVSLを前回企画ダイジェスト版として72時間公開。","","","seminar_date_unavailable / vsl_main_offered / offer_vsl_active","offer_seminar_active / seminar_main_offered / seminar_page_clicked_unregistered","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","IG_40_VSL_未開封","初回クリック時刻をVSL開始日時として固定。再クリックで期限を延長しない。","","","","",""
"Instagram_10大特典","REVIEW_Instagram10大特典_20260810","6","レビュー中","アクション","VSL","IG_45_視聴開始","ACT-VSL-START","VSLページを開いて視聴開始","クリック直後","UTAGE","ラベル・シナリオ遷移","VSL視聴開始","","未視聴シナリオを即停止し、途中視聴へ移行。","","","vsl_main_started / offer_vsl_active","","vsl_main_completed / offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","IG_50_VSL途中","YouTubeと同じ視聴開始判定を使用。未視聴15通と途中10通を重ねない。","","","","",""
"Instagram_10大特典","REVIEW_Instagram10大特典_20260810","7","レビュー中","アクション","VSL","IG_55_視聴完了","ACT-VSL-COMPLETE","VSL完了地点到達","到達直後","UTAGE","ラベル・シナリオ遷移","VSL視聴完了","","未視聴・途中視聴を即停止し、完了後面談へ移行。","","","vsl_main_completed / offer_vsl_active","vsl_main_started","offer_consult_48h_active / roadmap_booked / sales_in_progress / sales_next_meeting / meeting_completed / sales_won / sales_stop","IG_60_VSL完了_面談","完了時点でVSL-U／VSL-Pを解除。完了シーケンスだけを残す。","","","","",""
"Instagram_10大特典","REVIEW_Instagram10大特典_20260810","8","レビュー中","アクション","VSL","IG_65_期限切れ","ACT-VSL-EXPIRE","VSL開始から72時間・面談未予約","VSL初回開始時刻から厳密に72時間後","UTAGE","ラベル・シナリオ遷移","VSL期限切れ","","72時間VSLを終了し、面談予約済みでなければオプチャへ。","","","vsl_main_expired","vsl_main_started / vsl_main_offered / offer_vsl_active","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop / offer_noshow_rebook_active","IG_90_オプチャ案内","日程不可／第2日程後／セミナー参加者未予約のどの入口でも同じ72時間判定。","","","","",""
"Instagram_10大特典","REVIEW_Instagram10大特典_20260810","9","レビュー中","アクション","終了","IG_90_未転換終了","ACT-OPENCHAT","VSL72時間終了・面談未予約、または無断欠席3通後未再予約","各上位オファー終了直後","UTAGE","ラベル・シナリオ遷移","オプチャ移行","","まだ面談予約・実施していない未転換者だけをオプチャへ移行。","","","openchat_invited","offer_seminar_active / offer_vsl_active / offer_consult_day_active / offer_consult_48h_active / offer_noshow_rebook_active","roadmap_booked / sales_in_progress / meeting_completed / sales_won / sales_stop","IG_90_オプチャ案内","面談予約済み・面談済みは自動オプチャ対象外。","","","","",""
"Instagram_10大特典","REVIEW_Instagram10大特典_20260810","10","レビュー中","アクション","最優先","IG_99_営業結果","ACT-SALES","面談完了後の営業結果を手動更新","面談終了後","UTAGE","ラベル・シナリオ遷移","上位状態停止","","meeting_completedを前提に営業結果4択を記録。自動ファネルは再開しない。","","","sales_won / sales_next_meeting / sales_no_next_meeting / sales_stop","","meeting_completed必須","手動運用","14番はYouTubeの4択を維持。ただし今回の確定事項により面談済みはゴールで、自動オプチャ・自動セミナー再開は行わない。","","","","",""
